FIPS,Name,Population,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20
38000,Jenkintown borough,4430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,5,5,6,7,9,10,10,11,11,12,14,14,14,14,15,15,16,17,18,19,19,20,22,23,23,23,23,23,23,23,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,27,27,27,27,27,27,27
41432,Lansdale borough,16707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,4,4,5,5,10,10,11,13,19,24,26,27,27,27,29,29,33,33,34,35,37,37,39,39,42,47,56,61,63,63,66,73,79,84,89,91,94,97,99,105,111,112,113,113,131,132,142,145,148,148,158,159,162,169
43312,Limerick township,19056,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,4,7,8,8,8,8,8,8,10,11,13,15,15,15,17,18,20,20,20,21,21,21,22,27,31,34,37,37,37,37,39,39,40,40,41,42,43,45,47,47,48,48,50,51,52,54,54,54,55,55,56,58,60,61,62,63,66,68
44912,Lower Frederick township,4886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,6,6,6,6,6,7,7,8,8,9,9,9,10,11,11,11,11,11,12,12,12,13,13,13,14,16
44920,Lower Gwynedd township,11520,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,7,9,9,10,10,10,10,10,12,13,18,22,29,32,37,40,44,47,49,50,52,56,56,60,62,65,66,66,67,69,70,72,75,75,77,78,81,83,90,99,100,103,107,112,113,115,115,115,117,118,122,125,126,128,128,128,131
44976,Lower Merion township,59578,0,2,2,2,2,4,4,4,6,6,6,8,9,12,17,30,35,36,48,60,68,71,79,94,107,110,120,124,135,144,157,167,172,179,196,206,219,226,234,251,260,267,282,292,297,300,305,308,321,324,332,338,345,350,359,369,375,379,381,384,396,399,406,420,425,428,435,449,459,474,483,494,506,510,514,520
45008,Lower Moreland township,13146,0,0,0,0,0,0,0,0,0,1,1,1,4,5,5,5,6,6,7,9,10,13,13,15,17,18,20,20,23,24,28,32,33,34,37,39,41,44,47,48,49,51,56,56,60,61,62,64,67,68,70,73,74,76,78,81,81,81,82,83,84,85,85,85,86,86,87,87,89,93,96,96,99,101,102,104
45072,Lower Pottsgrove township,12112,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,4,4,4,4,4,4,6,6,7,8,8,8,8,9,9,9,9,10,13,15,17,19,22,24,24,25,26,26,28,29,30,31,33,33,33,33,33,33,34,35,36,36,36,36,37,37,37,37,39,39,40,40
45080,Lower Providence township,26812,0,0,0,0,0,0,0,1,2,4,6,7,10,10,11,14,16,17,21,25,27,28,28,28,29,29,35,36,39,41,44,46,48,49,50,53,55,58,60,60,60,64,67,70,77,78,78,82,84,87,90,91,212,254,265,269,269,276,281,287,291,293,296,298,298,299,303,305,309,312,316,316,316,319,324,326
45096,Lower Salford township,15470,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,4,4,5,5,7,7,9,11,11,12,17,22,25,26,26,26,28,28,29,29,30,31,34,35,35,35,36,37,37,38,38,39,41,41,42,44,44,45,46,47,48,49,50,53,54,54,54,54,55,55,56,56,57,58,59,59
